Data_Point,Date_Time,Test_Time(s),Step_Time(s),Cycle_Index,Step_Index,Current(A),Voltage(V),Power(W),Charge_Capacity(Ah),Discharge_Capacity(Ah),Charge_Energy(Wh),Discharge_Energy(Wh),ACR(Ohm),dV/dt(V/s),Internal_Resistance(Ohm),dQ/dV(Ah/V),dV/dQ(V/Ah)
44,03/04/2022 17:38:41.765,880.035,880.035,1,1,0.00000,3.31488,0.00000,0.00000,0.00000,0.00000,0.00000,,3.101528E-05,,,
45,03/04/2022 17:39:01.766,900.036,900.036,1,1,0.00000,3.31529,0.00000,0.00000,0.00000,0.00000,0.00000,,1.568751E-05,,,
46,03/04/2022 17:39:21.768,920.038,920.038,1,1,0.00000,3.31570,0.00000,0.00000,0.00000,0.00000,0.00000,,1.379079E-05,,,
47,03/04/2022 17:39:41.769,940.039,940.039,1,1,0.00000,3.31611,0.00000,0.00000,0.00000,0.00000,0.00000,,8.732847E-06,,,
48,03/04/2022 17:40:01.770,960.040,960.040,1,1,0.00000,3.31648,0.00000,0.00000,0.00000,0.00000,0.00000,,3.188449E-05,,,
49,03/04/2022 17:40:21.771,980.041,980.041,1,1,0.00000,3.31687,0.00000,0.00000,0.00000,0.00000,0.00000,,3.315101E-05,,0,
50,03/04/2022 17:40:41.772,1000.042,1000.042,1,1,0.00000,3.31724,0.00000,0.00000,0.00000,0.00000,0.00000,,2.528802E-05,,,
51,03/04/2022 17:41:01.773,1020.043,1020.043,1,1,0.00000,3.31756,0.00000,0.00000,0.00000,0.00000,0.00000,,1.900553E-05,,,
52,03/04/2022 17:41:21.774,1040.044,1040.044,1,1,0.00000,3.31798,0.00000,0.00000,0.00000,0.00000,0.00000,,2.102066E-05,,,
53,03/04/2022 17:41:41.774,1060.044,1060.044,1,1,0.00000,3.31838,0.00000,0.00000,0.00000,0.00000,0.00000,,2.062554E-05,,,
54,03/04/2022 17:42:01.775,1080.045,1080.045,1,1,0.00000,3.31867,0.00000,0.00000,0.00000,0.00000,0.00000,,3.59564E-06,,,
55,03/04/2022 17:42:21.776,1100.046,1100.046,1,1,0.00000,3.31902,0.00000,0.00000,0.00000,0.00000,0.00000,,2.528802E-05,,0,
56,03/04/2022 17:42:41.777,1120.047,1120.047,1,1,0.00000,3.31942,0.00000,0.00000,0.00000,0.00000,0.00000,,2.378654E-05,,,
57,03/04/2022 17:43:01.778,1140.048,1140.048,1,1,0.00000,3.31970,0.00000,0.00000,0.00000,0.00000,0.00000,,8.33659E-06,,,
58,03/04/2022 17:43:21.779,1160.049,1160.049,1,1,0.00000,3.32003,0.00000,0.00000,0.00000,0.00000,0.00000,,9.522519E-06,,,
59,03/04/2022 17:43:41.780,1180.050,1180.050,1,1,0.00000,3.32038,0.00000,0.00000,0.00000,0.00000,0.00000,,2.027026E-05,,,
60,03/04/2022 17:44:01.781,1200.051,1200.051,1,1,0.00000,3.32069,0.00000,0.00000,0.00000,0.00000,0.00000,,1.224807E-06,,,
61,03/04/2022 17:44:21.781,1220.051,1220.051,1,1,0.00000,3.32101,0.00000,0.00000,0.00000,0.00000,0.00000,,1.572612E-05,,0,
62,03/04/2022 17:44:41.781,1240.051,1240.051,1,1,0.00000,3.32134,0.00000,0.00000,0.00000,0.00000,0.00000,,1.912422E-05,,,
63,03/04/2022 17:45:01.783,1260.053,1260.053,1,1,0.00000,3.32165,0.00000,0.00000,0.00000,0.00000,0.00000,,4.781055E-06,,,
64,03/04/2022 17:45:21.785,1280.055,1280.055,1,1,0.00000,3.32193,0.00000,0.00000,0.00000,0.00000,0.00000,,1.110228E-05,,,
65,03/04/2022 17:45:41.785,1300.055,1300.055,1,1,0.00000,3.32219,0.00000,0.00000,0.00000,0.00000,0.00000,,1.556806E-05,,,
66,03/04/2022 17:46:01.786,1320.056,1320.056,1,1,0.00000,3.32251,0.00000,0.00000,0.00000,0.00000,0.00000,,8.41561E-06,,,
67,03/04/2022 17:46:21.787,1340.057,1340.057,1,1,0.00000,3.32283,0.00000,0.00000,0.00000,0.00000,0.00000,,1.821527E-05,,0,
68,03/04/2022 17:46:41.788,1360.058,1360.058,1,1,0.00000,3.32310,0.00000,0.00000,0.00000,0.00000,0.00000,,4.701991E-06,,,
69,03/04/2022 17:47:01.788,1380.058,1380.058,1,1,0.00000,3.32336,0.00000,0.00000,0.00000,0.00000,0.00000,,1.659402E-05,,,
70,03/04/2022 17:47:21.789,1400.059,1400.059,1,1,0.00000,3.32365,0.00000,0.00000,0.00000,0.00000,0.00000,,2.682901E-05,,,
71,03/04/2022 17:47:41.790,1420.060,1420.060,1,1,0.00000,3.32392,0.00000,0.00000,0.00000,0.00000,0.00000,,1.382927E-05,,,
72,03/04/2022 17:48:01.792,1440.062,1440.062,1,1,0.00000,3.32416,0.00000,0.00000,0.00000,0.00000,0.00000,,2.082293E-05,,,
73,03/04/2022 17:48:21.793,1460.063,1460.063,1,1,0.00000,3.32448,0.00000,0.00000,0.00000,0.00000,0.00000,,1.620108E-06,,0,
74,03/04/2022 17:48:41.793,1480.063,1480.063,1,1,0.00000,3.32474,0.00000,0.00000,0.00000,0.00000,0.00000,,3.022683E-05,,,
75,03/04/2022 17:49:01.794,1500.064,1500.064,1,1,0.00000,3.32495,0.00000,0.00000,0.00000,0.00000,0.00000,,-1.856966E-06,,,
76,03/04/2022 17:49:21.795,1520.065,1520.065,1,1,0.00000,3.32525,0.00000,0.00000,0.00000,0.00000,0.00000,,1.303924E-05,,,
77,03/04/2022 17:49:41.795,1540.065,1540.065,1,1,0.00000,3.32548,0.00000,0.00000,0.00000,0.00000,0.00000,,3.160793E-06,,,
78,03/04/2022 17:50:01.796,1560.066,1560.066,1,1,0.00000,3.32575,0.00000,0.00000,0.00000,0.00000,0.00000,,2.319424E-05,,,
79,03/04/2022 17:50:21.796,1580.066,1580.066,1,1,0.00000,3.32598,0.00000,0.00000,0.00000,0.00000,0.00000,,1.821407E-05,,0,
80,03/04/2022 17:50:41.797,1600.067,1600.067,1,1,0.00000,3.32625,0.00000,0.00000,0.00000,0.00000,0.00000,,1.64383E-05,,,
81,03/04/2022 17:51:01.797,1620.067,1620.067,1,1,0.00000,3.32647,0.00000,0.00000,0.00000,0.00000,0.00000,,4.346378E-06,,,
82,03/04/2022 17:51:21.799,1640.069,1640.069,1,1,0.00000,3.32673,0.00000,0.00000,0.00000,0.00000,0.00000,,1.379067E-05,,,
83,03/04/2022 17:51:41.800,1660.070,1660.070,1,1,0.00000,3.32699,0.00000,0.00000,0.00000,0.00000,0.00000,,2.489124E-06,,,
84,03/04/2022 17:52:01.801,1680.071,1680.071,1,1,0.00000,3.32717,0.00000,0.00000,0.00000,0.00000,0.00000,,2.11392E-05,,,
85,03/04/2022 17:52:21.802,1700.072,1700.072,1,1,0.00000,3.32744,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.121722E-06,,0,
86,03/04/2022 17:52:41.802,1720.072,1720.072,1,1,0.00000,3.32772,0.00000,0.00000,0.00000,0.00000,0.00000,,1.106351E-05,,,
87,03/04/2022 17:53:01.802,1740.072,1740.072,1,1,0.00000,3.32787,0.00000,0.00000,0.00000,0.00000,0.00000,,-5.650291E-06,,,
88,03/04/2022 17:53:21.804,1760.074,1760.074,1,1,0.00000,3.32810,0.00000,0.00000,0.00000,0.00000,0.00000,,1.169551E-05,,,
89,03/04/2022 17:53:41.805,1780.075,1780.075,1,1,0.00000,3.32836,0.00000,0.00000,0.00000,0.00000,0.00000,,1.185395E-07,,,
90,03/04/2022 17:54:01.806,1800.076,1800.076,1,1,0.00000,3.32853,0.00000,0.00000,0.00000,0.00000,0.00000,,2.283843E-05,,,
91,03/04/2022 17:54:21.807,1820.077,1820.077,1,1,0.00000,3.32878,0.00000,0.00000,0.00000,0.00000,0.00000,,9.087354E-07,,0,
92,03/04/2022 17:54:41.808,1840.078,1840.078,1,1,0.00000,3.32896,0.00000,0.00000,0.00000,0.00000,0.00000,,1.284242E-05,,,
93,03/04/2022 17:55:01.808,1860.078,1860.078,1,1,0.00000,3.32919,0.00000,0.00000,0.00000,0.00000,0.00000,,1.260366E-05,,,
94,03/04/2022 17:55:21.808,1880.078,1880.078,1,1,0.00000,3.32940,0.00000,0.00000,0.00000,0.00000,0.00000,,1.809554E-05,,,
95,03/04/2022 17:55:41.808,1900.078,1900.078,1,1,0.00000,3.32957,0.00000,0.00000,0.00000,0.00000,0.00000,,9.957652E-06,,,
96,03/04/2022 17:56:01.809,1920.079,1920.079,1,1,0.00000,3.32984,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.437561E-06,,,
97,03/04/2022 17:56:21.810,1940.080,1940.080,1,1,0.00000,3.33003,0.00000,0.00000,0.00000,0.00000,0.00000,,1.473817E-05,,0,
98,03/04/2022 17:56:41.812,1960.082,1960.082,1,1,0.00000,3.33025,0.00000,0.00000,0.00000,0.00000,0.00000,,9.245931E-06,,,
99,03/04/2022 17:57:01.812,1980.082,1980.082,1,1,0.00000,3.33040,0.00000,0.00000,0.00000,0.00000,0.00000,,1.592355E-05,,,
100,03/04/2022 17:57:21.812,2000.082,2000.082,1,1,0.00000,3.33057,0.00000,0.00000,0.00000,0.00000,0.00000,,1.552842E-05,,,
101,03/04/2022 17:57:41.813,2020.083,2020.083,1,1,0.00000,3.33078,0.00000,0.00000,0.00000,0.00000,0.00000,,-1.856966E-06,,,
102,03/04/2022 17:58:01.814,2040.084,2040.084,1,1,0.00000,3.33099,0.00000,0.00000,0.00000,0.00000,0.00000,,2.208878E-05,,,
103,03/04/2022 17:58:21.815,2060.085,2060.085,1,1,0.00000,3.33115,0.00000,0.00000,0.00000,0.00000,0.00000,,5.136245E-07,,0,
104,03/04/2022 17:58:41.815,2080.085,2080.085,1,1,0.00000,3.33135,0.00000,0.00000,0.00000,0.00000,0.00000,,6.836177E-06,,,
105,03/04/2022 17:59:01.816,2100.086,2100.086,1,1,0.00000,3.33155,0.00000,0.00000,0.00000,0.00000,0.00000,,1.60816E-05,,,
106,03/04/2022 17:59:21.816,2120.086,2120.086,1,1,0.00000,3.33171,0.00000,0.00000,0.00000,0.00000,0.00000,,1.058936E-05,,,
107,03/04/2022 17:59:41.817,2140.087,2140.087,1,1,0.00000,3.33194,0.00000,0.00000,0.00000,0.00000,0.00000,,1.758409E-05,,,
108,03/04/2022 18:00:01.819,2160.089,2160.089,1,1,0.00000,3.33209,0.00000,0.00000,0.00000,0.00000,0.00000,,1.054993E-05,,,
109,03/04/2022 18:00:21.820,2180.090,2180.090,1,1,0.00000,3.33229,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.477074E-06,,0,
110,03/04/2022 18:00:41.821,2200.091,2200.091,1,1,0.00000,3.33246,0.00000,0.00000,0.00000,0.00000,0.00000,,1.272388E-05,,,
111,03/04/2022 18:01:01.821,2220.091,2220.091,1,1,0.00000,3.33265,0.00000,0.00000,0.00000,0.00000,0.00000,,1.620027E-06,,,
112,03/04/2022 18:01:21.821,2240.091,2240.091,1,1,0.00000,3.33281,0.00000,0.00000,0.00000,0.00000,0.00000,,-8.298181E-07,,,
113,03/04/2022 18:01:41.822,2260.092,2260.092,1,1,0.00000,3.33300,0.00000,0.00000,0.00000,0.00000,0.00000,,1.513317E-05,,,
114,03/04/2022 18:02:01.825,2280.095,2280.095,1,1,0.00000,3.33316,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.161159E-06,,,
115,03/04/2022 18:02:21.825,2300.095,2300.095,1,1,0.00000,3.33335,0.00000,0.00000,0.00000,0.00000,0.00000,,-9.088106E-07,,0,
116,03/04/2022 18:02:41.826,2320.096,2320.096,1,1,0.00000,3.33354,0.00000,0.00000,0.00000,0.00000,0.00000,,1.1499E-05,,,
117,03/04/2022 18:03:01.826,2340.096,2340.096,1,1,0.00000,3.33365,0.00000,0.00000,0.00000,0.00000,0.00000,,-1.102399E-05,,,
118,03/04/2022 18:03:21.828,2360.098,2360.098,1,1,0.00000,3.33388,0.00000,0.00000,0.00000,0.00000,0.00000,,5.176055E-06,,,
119,03/04/2022 18:03:41.829,2380.099,2380.099,1,1,0.00000,3.33399,0.00000,0.00000,0.00000,0.00000,0.00000,,1.161745E-05,,,
120,03/04/2022 18:04:01.831,2400.101,2400.101,1,1,0.00000,3.33417,0.00000,0.00000,0.00000,0.00000,0.00000,,-4.14909E-06,,,
121,03/04/2022 18:04:21.832,2420.102,2420.102,1,1,0.00000,3.33434,0.00000,0.00000,0.00000,0.00000,0.00000,,2.552509E-05,,0,
122,03/04/2022 18:04:41.833,2440.103,2440.103,1,1,0.00000,3.33451,0.00000,0.00000,0.00000,0.00000,0.00000,,1.232781E-05,,,
123,03/04/2022 18:05:01.833,2460.103,2460.103,1,1,0.00000,3.33463,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.714208E-06,,,
124,03/04/2022 18:05:21.834,2480.104,2480.104,1,1,0.00000,3.33483,0.00000,0.00000,0.00000,0.00000,0.00000,,9.957156E-06,,,
125,03/04/2022 18:05:41.835,2500.105,2500.105,1,1,0.00000,3.33502,0.00000,0.00000,0.00000,0.00000,0.00000,,9.878787E-06,,,
126,03/04/2022 18:06:01.836,2520.106,2520.106,1,1,0.00000,3.33517,0.00000,0.00000,0.00000,0.00000,0.00000,,-1.066776E-06,,,
127,03/04/2022 18:06:21.837,2540.107,2540.107,1,1,0.00000,3.33530,0.00000,0.00000,0.00000,0.00000,0.00000,,8.890244E-06,,,
128,03/04/2022 18:06:41.837,2560.107,2560.107,1,1,0.00000,3.33544,0.00000,0.00000,0.00000,0.00000,0.00000,,1.284232E-05,,0,
129,03/04/2022 18:07:01.837,2580.107,2580.107,1,1,0.00000,3.33559,0.00000,0.00000,0.00000,0.00000,0.00000,,-9.918302E-06,,,
130,03/04/2022 18:07:21.837,2600.107,2600.107,1,1,0.00000,3.33575,0.00000,0.00000,0.00000,0.00000,0.00000,,1.580383E-07,,,
131,03/04/2022 18:07:41.838,2620.108,2620.108,1,1,0.00000,3.33594,0.00000,0.00000,0.00000,0.00000,0.00000,,1.604209E-05,,,
132,03/04/2022 18:08:01.838,2640.108,2640.108,1,1,0.00000,3.33607,0.00000,0.00000,0.00000,0.00000,0.00000,,-5.057939E-06,,,
133,03/04/2022 18:08:21.839,2660.109,2660.109,1,1,0.00000,3.33621,0.00000,0.00000,0.00000,0.00000,0.00000,,-1.896586E-06,,,
134,03/04/2022 18:08:41.840,2680.110,2680.110,1,1,0.00000,3.33639,0.00000,0.00000,0.00000,0.00000,0.00000,,1.924388E-05,,0,
135,03/04/2022 18:09:01.841,2700.111,2700.111,1,1,0.00000,3.33654,0.00000,0.00000,0.00000,0.00000,0.00000,,1.620027E-06,,,
136,03/04/2022 18:09:21.843,2720.113,2720.113,1,1,0.00000,3.33664,0.00000,0.00000,0.00000,0.00000,0.00000,,-2.84509E-06,,,
137,03/04/2022 18:09:41.844,2740.114,2740.114,1,1,0.00000,3.33678,0.00000,0.00000,0.00000,0.00000,0.00000,,1.276339E-05,,,
138,03/04/2022 18:10:01.844,2760.114,2760.114,1,1,0.00000,3.33695,0.00000,0.00000,0.00000,0.00000,0.00000,,5.176098E-06,,,
139,03/04/2022 18:10:21.844,2780.114,2780.114,1,1,0.00000,3.33712,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.713993E-06,,,
140,03/04/2022 18:10:41.844,2800.114,2800.114,1,1,0.00000,3.33722,0.00000,0.00000,0.00000,0.00000,0.00000,,1.612004E-05,,0,
141,03/04/2022 18:11:01.845,2820.115,2820.115,1,1,0.00000,3.33736,0.00000,0.00000,0.00000,0.00000,0.00000,,1.4344E-05,,,
142,03/04/2022 18:11:21.846,2840.116,2840.116,1,1,0.00000,3.33747,0.00000,0.00000,0.00000,0.00000,0.00000,,-2.252083E-06,,,
143,03/04/2022 18:11:41.847,2860.117,2860.117,1,1,0.00000,3.33767,0.00000,0.00000,0.00000,0.00000,0.00000,,-5.018424E-06,,,
144,03/04/2022 18:12:01.848,2880.118,2880.118,1,1,0.00000,3.33781,0.00000,0.00000,0.00000,0.00000,0.00000,,2.528781E-05,,,
145,03/04/2022 18:12:21.848,2900.118,2900.118,1,1,0.00000,3.33793,0.00000,0.00000,0.00000,0.00000,0.00000,,1.311794E-05,,,
146,03/04/2022 18:12:41.849,2920.119,2920.119,1,1,0.00000,3.33807,0.00000,0.00000,0.00000,0.00000,0.00000,,-2.291878E-06,,0,
147,03/04/2022 18:13:01.851,2940.121,2940.121,1,1,0.00000,3.33823,0.00000,0.00000,0.00000,0.00000,0.00000,,4.306829E-06,,,
148,03/04/2022 18:13:21.853,2960.123,2960.123,1,1,0.00000,3.33834,0.00000,0.00000,0.00000,0.00000,0.00000,,1.161659E-05,,,
149,03/04/2022 18:13:41.854,2980.124,2980.124,1,1,0.00000,3.33845,0.00000,0.00000,0.00000,0.00000,0.00000,,7.270787E-06,,,
150,03/04/2022 18:14:01.855,3000.125,3000.125,1,1,0.00000,3.33861,0.00000,0.00000,0.00000,0.00000,0.00000,,2.212701E-06,,,
151,03/04/2022 18:14:21.856,3020.126,3020.126,1,1,0.00000,3.33874,0.00000,0.00000,0.00000,0.00000,0.00000,,2.196896E-05,,,
152,03/04/2022 18:14:41.856,3040.126,3040.126,1,1,0.00000,3.33890,0.00000,0.00000,0.00000,0.00000,0.00000,,1.296011E-05,,0,
153,03/04/2022 18:15:01.858,3060.128,3060.128,1,1,0.00000,3.33903,0.00000,0.00000,0.00000,0.00000,0.00000,,1.461964E-06,,,
154,03/04/2022 18:15:21.858,3080.128,3080.128,1,1,0.00000,3.33910,0.00000,0.00000,0.00000,0.00000,0.00000,,-5.294327E-06,,,
155,03/04/2022 18:15:41.859,3100.129,3100.129,1,1,0.00000,3.33929,0.00000,0.00000,0.00000,0.00000,0.00000,,1.303903E-05,,,
156,03/04/2022 18:16:01.860,3120.130,3120.130,1,1,0.00000,3.33939,0.00000,0.00000,0.00000,0.00000,0.00000,,2.394618E-05,,,
157,03/04/2022 18:16:21.861,3140.131,3140.131,1,1,0.00000,3.33953,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.398303E-06,,,
158,03/04/2022 18:16:41.861,3160.131,3160.131,1,1,0.00000,3.33966,0.00000,0.00000,0.00000,0.00000,0.00000,,9.245931E-06,,0,
159,03/04/2022 18:17:01.861,3180.131,3180.131,1,1,0.00000,3.33977,0.00000,0.00000,0.00000,0.00000,0.00000,,1.307854E-05,,,
160,03/04/2022 18:17:21.862,3200.132,3200.132,1,1,0.00000,3.33989,0.00000,0.00000,0.00000,0.00000,0.00000,,8.574219E-06,,,
161,03/04/2022 18:17:41.863,3220.133,3220.133,1,1,0.00000,3.34002,0.00000,0.00000,0.00000,0.00000,0.00000,,-3.714177E-06,,,
162,03/04/2022 18:18:01.865,3240.135,3240.135,1,1,0.00000,3.34015,0.00000,0.00000,0.00000,0.00000,0.00000,,5.650666E-06,,,
163,03/04/2022 18:18:21.865,3260.135,3260.135,1,1,0.00000,3.34029,0.00000,0.00000,0.00000,0.00000,0.00000,,1.256582E-05,,,
164,03/04/2022 18:18:41.865,3280.135,3280.135,1,1,0.00000,3.34038,0.00000,0.00000,0.00000,0.00000,0.00000,,3.951318E-07,,0,
165,03/04/2022 18:19:01.866,3300.136,3300.136,1,1,0.00000,3.34049,0.00000,0.00000,0.00000,0.00000,0.00000,,6.321533E-07,,,
166,03/04/2022 18:19:21.868,3320.138,3320.138,1,1,0.00000,3.34067,0.00000,0.00000,0.00000,0.00000,0.00000,,1.213115E-05,,,
167,03/04/2022 18:19:41.868,3340.138,3340.138,1,1,0.00000,3.34070,0.00000,0.00000,0.00000,0.00000,0.00000,,1.138036E-05,,,
168,03/04/2022 18:20:01.868,3360.138,3360.138,1,1,0.00000,3.34085,0.00000,0.00000,0.00000,0.00000,0.00000,,1.60816E-05,,,
169,03/04/2022 18:20:21.869,3380.139,3380.139,1,1,0.00000,3.34097,0.00000,0.00000,0.00000,0.00000,0.00000,,-5.650666E-06,,,
170,03/04/2022 18:20:41.870,3400.140,3400.140,1,1,0.00000,3.34111,0.00000,0.00000,0.00000,0.00000,0.00000,,1.193278E-05,,0,
171,03/04/2022 18:21:01.871,3420.141,3420.141,1,1,0.00000,3.34121,0.00000,0.00000,0.00000,0.00000,0.00000,,1.323593E-05,,,
172,03/04/2022 18:21:21.871,3440.141,3440.141,1,1,0.00000,3.34130,0.00000,0.00000,0.00000,0.00000,0.00000,,9.719518E-06,,,
173,03/04/2022 18:21:41.871,3460.141,3460.141,1,1,0.00000,3.34143,0.00000,0.00000,0.00000,0.00000,0.00000,,1.501563E-06,,,
174,03/04/2022 18:22:01.872,3480.142,3480.142,1,1,0.00000,3.34155,0.00000,0.00000,0.00000,0.00000,0.00000,,-5.175841E-06,,,
175,03/04/2022 18:22:21.872,3500.142,3500.142,1,1,0.00000,3.34164,0.00000,0.00000,0.00000,0.00000,0.00000,,7.942018E-06,,,
